"","EESPECIE","EGRUPART","zona","PORTO","07","08","10","05","09","01","04","11","02","03","06","12"
"1","WHB","MIS_MIS","27.9.a.c.n","VIANA DO CASTELO","10-100","0-10","10-100",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","WHB","MIS_MIS","27.9.a.c.n","V. PRAIA DA ANCORA",NA,"0-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","WHB","MIS_MIS","27.9.a.c.n","POVOA DO VARZIM","100-1000","100-1000",NA,"10-100","10-100",NA,NA,NA,NA,NA,NA,NA
"4","WHB","MIS_MIS","27.9.a.c.n","MATOSINHOS",NA,"10-100",NA,"0-10",NA,NA,NA,NA,NA,NA,NA,NA
"5","WHB","MIS_MIS","27.9.a.c.n","AVEIRO","10-100","10-100","10-100",NA,"10-100","0-10",NA,NA,NA,NA,NA,NA
"6","WHB","MIS_MIS","27.9.a.c.n","FIGUEIRA DA FOZ",NA,"10-100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","WHB","MIS_MIS","27.9.a.c.n","NAZARE",NA,NA,"0-10",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","WHB","MIS_MIS","27.9.a.c.s","PENICHE",NA,NA,NA,NA,"0-10",NA,"0-10","10-100",NA,NA,NA,NA
"9","WHB","MIS_MIS","27.9.a.c.s","SESIMBRA","10-100","100-1000",NA,"10-100",NA,"0-10","100-1000",NA,"10-100","10-100",NA,NA
"10","WHB","MIS_MIS","27.9.a.s.a","OLHAO",NA,NA,"10-100",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","WHB","MIS_MIS","27.9.a.s.a","QUARTEIRA","0-10","10-100","0-10",NA,NA,NA,NA,"0-10",NA,NA,"0-10","0-10"
"12","WHB","MIS_MIS","27.9.a.s.a","VRSA",NA,NA,"10-100",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","WHB","OTB","27.9.a.c.n","MATOSINHOS","> 1000","> 1000","> 1000","> 1000","> 1000","> 1000","> 1000","> 1000","> 1000","> 1000","> 1000","> 1000"
"14","WHB","OTB","27.9.a.c.n","AVEIRO","100-1000","> 1000",NA,"> 1000","> 1000","> 1000","> 1000","100-1000","> 1000","> 1000","10-100","> 1000"
"15","WHB","OTB","27.9.a.c.n","FIGUEIRA DA FOZ","> 1000","100-1000","> 1000","100-1000","> 1000","10-100","> 1000",NA,"100-1000","> 1000","> 1000","10-100"
"16","WHB","OTB","27.9.a.c.n","NAZARE","> 1000","> 1000","> 1000","> 1000","> 1000","100-1000","> 1000","> 1000","> 1000","> 1000","> 1000","100-1000"
"17","WHB","OTB","27.9.a.c.s","PENICHE","> 1000","> 1000","> 1000","> 1000","100-1000","100-1000","> 1000","100-1000","> 1000","> 1000","> 1000","100-1000"
"18","WHB","OTB","27.9.a.c.s","SESIMBRA","100-1000","100-1000","10-100","> 1000","100-1000",NA,"> 1000","100-1000",NA,"10-100","> 1000","100-1000"
"19","WHB","OTB","27.9.a.c.s","SINES","> 1000","> 1000","> 1000","> 1000","> 1000",NA,"> 1000","> 1000","> 1000","> 1000","> 1000","> 1000"
"20","WHB","OTB","27.9.a.s.a","PORTIMAO","100-1000",NA,"100-1000","100-1000",NA,"> 1000",NA,"> 1000","10-100",NA,"10-100",NA
"21","WHB","OTB","27.9.a.s.a","VRSA","> 1000","> 1000","> 1000","> 1000","100-1000",NA,"> 1000","> 1000","100-1000","> 1000","> 1000","10-100"
"22","WHB","PS","27.9.a.c.n","MATOSINHOS",NA,"> 1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","WHB","PS","27.9.a.c.s","SESIMBRA",NA,NA,NA,NA,NA,"10-100",NA,NA,NA,NA,NA,NA
"24","GFB","MIS_MIS","27.9.a.c.n","ESPOSENDE","0-10",NA,NA,NA,NA,NA,"0-10",NA,NA,"0-10","0-10",NA
"25","GFB","MIS_MIS","27.9.a.c.n","V. PRAIA DA ANCORA","0-10","0-10",NA,NA,NA,NA,NA,NA,NA,"0-10","0-10","0-10"
"26","GFB","MIS_MIS","27.9.a.c.n","CASTELO DO NEIVA","0-10","0-10",NA,"0-10",NA,"0-10",NA,NA,"0-10",NA,"0-10","0-10"
"27","GFB","MIS_MIS","27.9.a.c.n","NAZARE","10-100","10-100",NA,NA,"10-100",NA,NA,NA,NA,NA,NA,"0-10"
"28","GFB","MIS_MIS","27.9.a.c.s","PENICHE","100-1000","100-1000","100-1000","100-1000","100-1000","100-1000","100-1000","10-100","100-1000","100-1000","100-1000","10-100"
"29","GFB","MIS_MIS","27.9.a.c.s","SETUBAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0-10",NA,NA
"30","GFB","MIS_MIS","27.9.a.c.s","SINES",NA,NA,NA,"10-100",NA,NA,"0-10",NA,"10-100",NA,NA,NA
"31","GFB","MIS_MIS","27.9.a.s.a","SAGRES",NA,NA,NA,NA,"10-100",NA,NA,NA,NA,"0-10",NA,NA
"32","GFB","OTB","27.9.a.c.n","NAZARE","0-10","0-10",NA,NA,"0-10",NA,NA,NA,NA,NA,NA,NA
"33","GFB","OTB","27.9.a.c.s","PENICHE","0-10",NA,NA,"10-100",NA,"0-10",NA,"0-10",NA,NA,NA,"0-10"
"34","GFB","OTB","27.9.a.c.s","SINES","10-100",NA,NA,NA,NA,NA,"10-100",NA,NA,NA,NA,NA
"35","BRF","MIS_MIS","27.9.a.c.n","VIANA DO CASTELO","100-1000","100-1000","100-1000","100-1000","100-1000","0-10","10-100","0-10","10-100","10-100","100-1000","0-10"
"36","BRF","MIS_MIS","27.9.a.c.n","CAMINHA",NA,NA,NA,"0-10",NA,NA,NA,NA,NA,NA,NA,NA
"37","BRF","MIS_MIS","27.9.a.c.n","V. PRAIA DA ANCORA","10-100","10-100","0-10",NA,"0-10","0-10",NA,"0-10","0-10","0-10","10-100","0-10"
"38","BRF","MIS_MIS","27.9.a.c.n","CASTELO DO NEIVA","10-100","10-100",NA,"10-100",NA,"0-10","10-100",NA,"0-10","10-100","10-100",NA
"39","BRF","MIS_MIS","27.9.a.c.n","POVOA DO VARZIM","100-1000","100-1000","100-1000","100-1000","100-1000","100-1000","100-1000","10-100","100-1000","100-1000","100-1000","10-100"
"40","BRF","MIS_MIS","27.9.a.c.n","MATOSINHOS","> 1000","> 1000","100-1000","100-1000","100-1000","10-100","100-1000","10-100","100-1000","> 1000","100-1000","10-100"
"41","BRF","MIS_MIS","27.9.a.c.n","AVEIRO","100-1000","> 1000","100-1000","10-100","> 1000","10-100","10-100","10-100","100-1000","100-1000","10-100","10-100"
"42","BRF","MIS_MIS","27.9.a.c.n","FIGUEIRA DA FOZ","100-1000","100-1000","100-1000","100-1000","100-1000","10-100","100-1000","10-100","10-100","100-1000","10-100","10-100"
"43","BRF","MIS_MIS","27.9.a.c.n","NAZARE","10-100","10-100","10-100","10-100","10-100","0-10","0-10","10-100","10-100","0-10","10-100","10-100"
"44","BRF","MIS_MIS","27.9.a.c.s","PENICHE","> 1000","> 1000","> 1000","> 1000","> 1000","> 1000","> 1000","> 1000","> 1000","> 1000","> 1000","> 1000"
"45","BRF","MIS_MIS","27.9.a.c.s","SESIMBRA","> 1000","> 1000","100-1000","100-1000","> 1000","> 1000","100-1000","100-1000","> 1000","> 1000","> 1000","100-1000"
"46","BRF","MIS_MIS","27.9.a.c.s","COSTA DA CAPARICA",NA,NA,"0-10",NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","BRF","MIS_MIS","27.9.a.c.s","SETUBAL","0-10",NA,NA,"0-10",NA,NA,NA,NA,NA,NA,NA,NA
"48","BRF","MIS_MIS","27.9.a.c.s","SINES","10-100","100-1000","10-100","100-1000","10-100","0-10","10-100","10-100","10-100","10-100","0-10","0-10"
"49","BRF","MIS_MIS","27.9.a.s.a","SAGRES","100-1000","> 1000","> 1000","100-1000","> 1000","100-1000","100-1000","100-1000","100-1000","100-1000","100-1000","10-100"
"50","BRF","MIS_MIS","27.9.a.s.a","PORTIMAO",NA,NA,NA,NA,"0-10",NA,NA,NA,"0-10",NA,NA,NA
"51","BRF","MIS_MIS","27.9.a.s.a","OLHAO","100-1000","100-1000","100-1000","100-1000","100-1000","10-100","10-100","100-1000","10-100",NA,"100-1000",NA
"52","BRF","MIS_MIS","27.9.a.s.a","QUARTEIRA",NA,NA,NA,"0-10",NA,NA,"0-10",NA,NA,NA,NA,NA
"53","BRF","OTB","27.9.a.c.n","MATOSINHOS","> 1000","> 1000","100-1000","> 1000","100-1000","100-1000","10-100","100-1000","100-1000","100-1000","> 1000","100-1000"
"54","BRF","OTB","27.9.a.c.n","AVEIRO","100-1000","100-1000","10-100","100-1000","100-1000","> 1000","100-1000","100-1000","100-1000","100-1000","100-1000","> 1000"
"55","BRF","OTB","27.9.a.c.n","FIGUEIRA DA FOZ","100-1000","100-1000","10-100","100-1000","100-1000","100-1000","100-1000","10-100","100-1000","100-1000","100-1000","10-100"
"56","BRF","OTB","27.9.a.c.n","NAZARE","100-1000","100-1000","10-100","100-1000","10-100","> 1000","10-100","100-1000","100-1000","100-1000","100-1000","100-1000"
"57","BRF","OTB","27.9.a.c.s","PENICHE","100-1000","100-1000","100-1000","100-1000","100-1000","100-1000","> 1000","100-1000","100-1000","100-1000","100-1000","100-1000"
"58","BRF","OTB","27.9.a.c.s","SESIMBRA","100-1000","10-100","10-100","100-1000","10-100","10-100","10-100","10-100","10-100","10-100","100-1000","10-100"
"59","BRF","OTB","27.9.a.c.s","SINES",NA,NA,NA,NA,NA,NA,NA,"100-1000",NA,NA,NA,"10-100"
"60","BRF","OTB","27.9.a.s.a","PORTIMAO","0-10",NA,"0-10","10-100",NA,"10-100","0-10","10-100","10-100",NA,"10-100","10-100"
"61","BRF","OTB","27.9.a.s.a","VRSA",NA,NA,NA,NA,NA,NA,"10-100",NA,NA,NA,NA,NA
